,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
241,수원 화성,62.0,7.0,20.0,237.0,237.0,220.0,285.0,64.0,237.0,68.0,2157
242,수원화성박물관,28.0,10.0,21.0,237.0,162.0,217.0,285.0,68.0,237.0,29.0,481
243,수종사,1.0,2.0,3.0,44.0,3.0,0.0,19.0,1.0,6.0,10.0,1047
244,숙정문,7.0,10.0,0.0,237.0,98.0,0.0,285.0,25.0,237.0,29.0,71
245,순창고추장민속마을,0.0,1.0,2.0,41.0,3.0,0.0,18.0,0.0,3.0,3.0,122
246,순천 낙안읍성,0.0,2.0,52.0,14.0,50.0,1.0,32.0,0.0,5.0,8.0,2078
247,숭례문,21.0,20.0,60.0,237.0,236.0,217.0,285.0,239.0,237.0,103.0,1126
248,숭인원,23.0,0.0,4.0,240.0,125.0,222.0,285.0,72.0,237.0,92.0,18
249,승동교회,25.0,43.0,60.0,237.0,237.0,226.0,285.0,240.0,237.0,164.0,3
250,시인이상화고택,8.0,9.0,40.0,237.0,146.0,219.0,285.0,238.0,237.0,91.0,372
251,신라역사과학관,0.0,1.0,0.0,21.0,61.0,1.0,35.0,0.0,11.0,1.0,61
252,신흥사,1.0,3.0,4.0,3.0,3.0,0.0,20.0,1.0,5.0,1.0,545
253,심곡서원,28.0,0.0,3.0,240.0,3.0,59.0,285.0,7.0,237.0,1.0,98
254,심청한옥마을,1.0,6.0,0.0,6.0,12.0,0.0,1.0,49.0,3.0,3.0,131
255,쌍계사(하동),0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158
256,쌍봉사(화순),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134
257,아라리촌,2.0,0.0,0.0,220.0,14.0,22.0,186.0,0.0,36.0,5.0,319
258,아산 공세리성당,0.0,0.0,11.0,40.0,2.0,2.0,31.0,0.0,4.0,0.0,1750
259,아산 맹씨 행단,0.0,0.0,4.0,86.0,0.0,4.0,29.0,0.0,5.0,3.0,132
260,안동 임청각,2.0,5.0,20.0,240.0,84.0,69.0,285.0,29.0,169.0,3.0,48
261,안동 하회마을 ,1.0,3.0,8.0,19.0,30.0,0.0,24.0,0.0,5.0,6.0,2503
262,안동민속촌,2.0,3.0,20.0,12.0,5.0,0.0,23.0,3.0,10.0,8.0,91
263,안면암(태안),0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818
264,안일사,10.0,1.0,27.0,240.0,27.0,75.0,285.0,97.0,237.0,17.0,42
265,애은당고택,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
